County,Population,Median Age,Household Income,Per Capita Income,Householder Owner Rate,Population Formatted,Household Income Formatted,Per Capita Income Formatted,Householder Owner Rate Formatted,Zipcode,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Date
Alamance,157844.0,39.7,44281.0,25157.0,64.18299080104407,"157,844","$44,281.00","$25,157.00",%64.2,37001,36.04,-79.4,203,9,0,194,2020-05-16T00:00:00Z
Alexander,37159.0,42.8,44523.0,22655.0,71.28555666191232,"37,159","$44,523.00","$22,655.00",%71.3,37003,35.92,-81.18,18,0,0,18,2020-05-16T00:00:00Z
Alleghany,10935.0,49.2,38944.0,21153.0,72.81207133058984,"10,935","$38,944.00","$21,153.00",%72.8,37005,36.49,-81.13,11,0,0,11,2020-05-16T00:00:00Z
Anson,25531.0,40.4,38123.0,19105.0,60.93768360032901,"25,531","$38,123.00","$19,105.00",%60.9,37007,34.97,-80.1,46,0,0,46,2020-05-16T00:00:00Z
Ashe,26833.0,47.2,40293.0,23650.0,73.19718257369657,"26,833","$40,293.00","$23,650.00",%73.2,37009,36.43,-81.5,26,0,0,26,2020-05-16T00:00:00Z
Beaufort,47316.0,45.4,41101.0,24657.0,69.27677741144645,"47,316","$41,101.00","$24,657.00",%69.3,37013,35.49,-76.84,27,0,0,27,2020-05-16T00:00:00Z
Bertie,19913.0,45.0,31287.0,18319.0,66.22809220107467,"19,913","$31,287.00","$18,319.00",%66.2,37015,36.07,-76.97,84,3,0,81,2020-05-16T00:00:00Z
Bladen,34130.0,42.8,32396.0,20839.0,67.13155581599766,"34,130","$32,396.00","$20,839.00",%67.1,37017,34.61,-78.56,70,2,0,68,2020-05-16T00:00:00Z
Brunswick,122586.0,51.9,51164.0,29707.0,75.48986017979215,"122,586","$51,164.00","$29,707.00",%75.5,37019,34.07,-78.23,55,2,0,53,2020-05-16T00:00:00Z
Buncombe,252268.0,41.9,48464.0,29590.0,64.80330442228107,"252,268","$48,464.00","$29,590.00",%64.8,37021,35.61,-82.53,152,4,0,148,2020-05-16T00:00:00Z
Burke,88898.0,43.6,40854.0,21885.0,69.45038133591306,"88,898","$40,854.00","$21,885.00",%69.5,37023,35.75,-81.71,191,14,0,177,2020-05-16T00:00:00Z
Cabarrus,196716.0,37.9,60716.0,29143.0,70.4970617540007,"196,716","$60,716.00","$29,143.00",%70.5,37025,35.39,-80.55,372,20,0,352,2020-05-16T00:00:00Z
Caldwell,81805.0,44.1,40735.0,21991.0,70.47613226575393,"81,805","$40,735.00","$21,991.00",%70.5,37027,35.95,-81.55,78,2,0,76,2020-05-16T00:00:00Z
Camden,10336.0,40.8,68327.0,27468.0,76.86726006191951,"10,336","$68,327.00","$27,468.00",%76.9,37029,36.34,-76.16,2,0,0,2,2020-05-16T00:00:00Z
Carteret,68699.0,47.4,51584.0,30903.0,71.57454984788716,"68,699","$51,584.00","$30,903.00",%71.6,37031,34.89,-76.54,36,3,0,33,2020-05-16T00:00:00Z
Caswell,22833.0,45.4,39428.0,21692.0,73.17041124687951,"22,833","$39,428.00","$21,692.00",%73.2,37033,36.39,-79.33,43,1,0,42,2020-05-16T00:00:00Z
Catawba,156182.0,41.2,48649.0,25960.0,67.97198140630803,"156,182","$48,649.00","$25,960.00",%68.0,37035,35.66,-81.21,96,2,0,94,2020-05-16T00:00:00Z
Chatham,68364.0,46.3,59684.0,36933.0,74.81276695336727,"68,364","$59,684.00","$36,933.00",%74.8,37037,35.7,-79.26,504,24,0,480,2020-05-16T00:00:00Z
Cherokee,27463.0,50.8,38115.0,21152.0,75.53071405163311,"27,463","$38,115.00","$21,152.00",%75.5,37039,35.13,-84.06,27,1,0,26,2020-05-16T00:00:00Z
Chowan,14370.0,44.7,41979.0,23542.0,67.28601252609603,"14,370","$41,979.00","$23,542.00",%67.3,37041,36.13,-76.6,14,0,0,14,2020-05-16T00:00:00Z
Clay,10753.0,50.7,37070.0,25433.0,77.92244024923278,"10,753","$37,070.00","$25,433.00",%77.9,37043,35.06,-83.74,8,0,0,8,2020-05-16T00:00:00Z
Cleveland,97038.0,41.7,40002.0,21664.0,65.319771635854,"97,038","$40,002.00","$21,664.00",%65.3,37045,35.34,-81.55,54,2,0,52,2020-05-16T00:00:00Z
Columbus,56589.0,41.9,36261.0,21849.0,66.97414691901253,"56,589","$36,261.00","$21,849.00",%67.0,37047,34.27,-78.66,238,18,0,220,2020-05-16T00:00:00Z
Craven,103374.0,36.2,49391.0,26830.0,60.35947143382282,"103,374","$49,391.00","$26,830.00",%60.4,37049,35.12,-77.08,84,4,0,80,2020-05-16T00:00:00Z
Cumberland,332766.0,31.0,44737.0,23627.0,50.30682221140381,"332,766","$44,737.00","$23,627.00",%50.3,37051,35.05,-78.83,463,12,0,451,2020-05-16T00:00:00Z
Currituck,25247.0,42.9,65758.0,29340.0,80.54422307600903,"25,247","$65,758.00","$29,340.00",%80.5,37053,36.36,-75.96,11,0,0,11,2020-05-16T00:00:00Z
Dare,35412.0,46.0,55640.0,30898.0,66.34474189540269,"35,412","$55,640.00","$30,898.00",%66.3,37055,35.67,-75.72,21,1,0,20,2020-05-16T00:00:00Z
Davidson,164118.0,42.1,45806.0,24231.0,70.02888165831901,"164,118","$45,806.00","$24,231.00",%70.0,37057,35.79,-80.21,274,10,0,264,2020-05-16T00:00:00Z
Davie,41766.0,44.6,53493.0,29234.0,73.67236508164535,"41,766","$53,493.00","$29,234.00",%73.7,37059,35.93,-80.54,46,2,0,44,2020-05-16T00:00:00Z
Duplin,59350.0,40.0,36679.0,18529.0,67.35973041280539,"59,350","$36,679.00","$18,529.00",%67.4,37061,34.93,-77.93,368,11,0,357,2020-05-16T00:00:00Z
Durham,300865.0,35.0,56393.0,33151.0,52.183537466970236,"300,865","$56,393.00","$33,151.00",%52.2,37063,36.04,-78.88,980,37,0,943,2020-05-16T00:00:00Z
Edgecombe,54032.0,40.3,32929.0,18946.0,57.26791530944625,"54,032","$32,929.00","$18,946.00",%57.3,37065,35.91,-77.59,167,7,0,160,2020-05-16T00:00:00Z
Forsyth,368362.0,38.2,48369.0,28640.0,61.40101313381945,"368,362","$48,369.00","$28,640.00",%61.4,37067,36.13,-80.25,627,7,0,620,2020-05-16T00:00:00Z
Franklin,63866.0,40.9,48344.0,23862.0,69.35615194313093,"63,866","$48,344.00","$23,862.00",%69.4,37069,36.08,-78.29,121,22,0,99,2020-05-16T00:00:00Z
